,,,-10.9700E-3,-799.999952E-3,,,,,-10.9700E-3,1.0200,
,,,-10.9600E-3,-799.999952E-3,,,,,-10.9600E-3,1.0200,
,,,-10.9500E-3,-759.999990E-3,,,,,-10.9500E-3,1.0200,
,,,-10.9400E-3,-759.999990E-3,,,,,-10.9400E-3,1.0200,
,,,-10.9300E-3,-759.999990E-3,,,,,-10.9300E-3,1.0200,
,,,-10.9200E-3,-759.999990E-3,,,,,-10.9200E-3,1.000,
,,,-10.9100E-3,-759.999990E-3,,,,,-10.9100E-3,979.999959E-3,
,,,-10.9000E-3,-759.999990E-3,,,,,-10.9000E-3,1.000,
,,,-10.8900E-3,-759.999990E-3,,,,,-10.8900E-3,1.000,
,,,-10.8800E-3,-719.999969E-3,,,,,-10.8800E-3,979.999959E-3,
,,,-10.8700E-3,-719.999969E-3,,,,,-10.8700E-3,979.999959E-3,
,,,-10.8600E-3,-719.999969E-3,,,,,-10.8600E-3,959.999979E-3,
,,,-10.8500E-3,-680.000007E-3,,,,,-10.8500E-3,959.999979E-3,
,,,-10.8400E-3,-680.000007E-3,,,,,-10.8400E-3,959.999979E-3,
,,,-10.8300E-3,-639.999986E-3,,,,,-10.8300E-3,959.999979E-3,
,,,-10.8200E-3,-680.000007E-3,,,,,-10.8200E-3,919.999957E-3,
,,,-10.8100E-3,-639.999986E-3,,,,,-10.8100E-3,919.999957E-3,
,,,-10.8000E-3,-639.999986E-3,,,,,-10.8000E-3,919.999957E-3,
,,,-10.7900E-3,-639.999986E-3,,,,,-10.7900E-3,919.999957E-3,
,,,-10.7800E-3,-599.999964E-3,,,,,-10.7800E-3,919.999957E-3,
,,,-10.7700E-3,-599.999964E-3,,,,,-10.7700E-3,919.999957E-3,
,,,-10.7600E-3,-599.999964E-3,,,,,-10.7600E-3,919.999957E-3,
,,,-10.7500E-3,-599.999964E-3,,,,,-10.7500E-3,899.999976E-3,
,,,-10.7400E-3,-599.999964E-3,,,,,-10.7400E-3,879.999995E-3,
,,,-10.7300E-3,-560.000002E-3,,,,,-10.7300E-3,859.999955E-3,
,,,-10.7200E-3,-560.000002E-3,,,,,-10.7200E-3,859.999955E-3,
,,,-10.7100E-3,-560.000002E-3,,,,,-10.7100E-3,879.999995E-3,
,,,-10.7000E-3,-519.999981E-3,,,,,-10.7000E-3,859.999955E-3,
,,,-10.6900E-3,-519.999981E-3,,,,,-10.6900E-3,839.999974E-3,
,,,-10.6800E-3,-519.999981E-3,,,,,-10.6800E-3,839.999974E-3,
,,,-10.6700E-3,-479.999989E-3,,,,,-10.6700E-3,839.999974E-3,
,,,-10.6600E-3,-519.999981E-3,,,,,-10.6600E-3,819.999993E-3,
,,,-10.6500E-3,-479.999989E-3,,,,,-10.6500E-3,839.999974E-3,
,,,-10.6400E-3,-479.999989E-3,,,,,-10.6400E-3,839.999974E-3,
,,,-10.6300E-3,-439.999998E-3,,,,,-10.6300E-3,839.999974E-3,
,,,-10.6200E-3,-439.999998E-3,,,,,-10.6200E-3,819.999993E-3,
,,,-10.6100E-3,-439.999998E-3,,,,,-10.6100E-3,819.999993E-3,
,,,-10.6000E-3,-439.999998E-3,,,,,-10.6000E-3,799.999952E-3,
,,,-10.5900E-3,-439.999998E-3,,,,,-10.5900E-3,819.999993E-3,
,,,-10.5800E-3,-399.99998E-3,,,,,-10.5800E-3,779.999971E-3,
,,,-10.5700E-3,-399.99998E-3,,,,,-10.5700E-3,799.999952E-3,
,,,-10.5600E-3,-399.99998E-3,,,,,-10.5600E-3,799.999952E-3,
,,,-10.5500E-3,-359.99998E-3,,,,,-10.5500E-3,799.999952E-3,
,,,-10.5400E-3,-399.99998E-3,,,,,-10.5400E-3,779.999971E-3,
,,,-10.5300E-3,-359.99998E-3,,,,,-10.5300E-3,759.999990E-3,
,,,-10.5200E-3,-359.99998E-3,,,,,-10.5200E-3,779.999971E-3,
,,,-10.5100E-3,-319.99999E-3,,,,,-10.5100E-3,779.999971E-3,
,,,-10.5000E-3,-319.99999E-3,,,,,-10.5000E-3,759.999990E-3,
,,,-10.4900E-3,-319.99999E-3,,,,,-10.4900E-3,759.999990E-3,
,,,-10.4800E-3,-319.99999E-3,,,,,-10.4800E-3,740.000010E-3,
,,,-10.4700E-3,-280.00000E-3,,,,,-10.4700E-3,759.999990E-3,
,,,-10.4600E-3,-280.00000E-3,,,,,-10.4600E-3,759.999990E-3,
,,,-10.4500E-3,-280.00000E-3,,,,,-10.4500E-3,740.000010E-3,
,,,-10.4400E-3,-280.00000E-3,,,,,-10.4400E-3,740.000010E-3,
,,,-10.4300E-3,-239.99999E-3,,,,,-10.4300E-3,759.999990E-3,
,,,-10.4200E-3,-239.99999E-3,,,,,-10.4200E-3,719.999969E-3,
,,,-10.4100E-3,-199.99999E-3,,,,,-10.4100E-3,719.999969E-3,
,,,-10.4000E-3,-239.99999E-3,,,,,-10.4000E-3,759.999990E-3,
,,,-10.3900E-3,-199.99999E-3,,,,,-10.3900E-3,719.999969E-3,
,,,-10.3800E-3,-199.99999E-3,,,,,-10.3800E-3,719.999969E-3,
,,,-10.3700E-3,-199.99999E-3,,,,,-10.3700E-3,719.999969E-3,
,,,-10.3600E-3,-199.99999E-3,,,,,-10.3600E-3,719.999969E-3,
,,,-10.3500E-3,-160.00000E-3,,,,,-10.3500E-3,719.999969E-3,
,,,-10.3400E-3,-199.99999E-3,,,,,-10.3400E-3,699.999988E-3,
,,,-10.3300E-3,-160.00000E-3,,,,,-10.3300E-3,719.999969E-3,
,,,-10.3200E-3,-160.00000E-3,,,,,-10.3200E-3,699.999988E-3,
,,,-10.3100E-3,-120.0000E-3,,,,,-10.3100E-3,719.999969E-3,
,,,-10.3000E-3,-120.0000E-3,,,,,-10.3000E-3,680.000007E-3,
,,,-10.2900E-3,-120.0000E-3,,,,,-10.2900E-3,699.999988E-3,
,,,-10.2800E-3,-120.0000E-3,,,,,-10.2800E-3,680.000007E-3,
,,,-10.2700E-3,-79.999998E-3,,,,,-10.2700E-3,680.000007E-3,
,,,-10.2600E-3,-79.999998E-3,,,,,-10.2600E-3,680.000007E-3,
,,,-10.2500E-3,-40.00000E-3,,,,,-10.2500E-3,680.000007E-3,
,,,-10.2400E-3,-79.999998E-3,,,,,-10.2400E-3,659.999967E-3,
,,,-10.2300E-3,-79.999998E-3,,,,,-10.2300E-3,659.999967E-3,
